Freq.	V(n008)
1.65958690743755e+004	(-2.29516876555900e+000dB,-1.59745322153342e+002°)
1.69824365246173e+004	(-2.21404606105285e+000dB,-1.59997845978903e+002°)
1.73780082874936e+004	(-2.13498218690243e+000dB,-1.60261127556098e+002°)
1.77827941003891e+004	(-2.05798147930414e+000dB,-1.60534422136010e+002°)
1.81970085860997e+004	(-1.98304324021742e+000dB,-1.60817011594751e+002°)
1.86208713666285e+004	(-1.91016212954167e+000dB,-1.61108204804691e+002°)
1.90546071796323e+004	(-1.83932853885031e+000dB,-1.61407337875934e+002°)
1.94984459975803e+004	(-1.77052894724043e+000dB,-1.61713774281318e+002°)
1.99526231496886e+004	(-1.70374625985747e+000dB,-1.62026904876775e+002°)
2.04173794466951e+004	(-1.63896012965201e+000dB,-1.62346147827649e+002°)
2.08929613085402e+004	(-1.57614726290549e+000dB,-1.62670948450504e+002°)
2.13796208950221e+004	(-1.51528170904899e+000dB,-1.63000778979049e+002°)
2.18776162394953e+004	(-1.45633513527210e+000dB,-1.63335138262018e+002°)
2.23872113856832e+004	(-1.39927708640252e+000dB,-1.63673551400191e+002°)
2.29086765276775e+004	(-1.34407523051389e+000dB,-1.64015569329169e+002°)
2.34422881531990e+004	(-1.29069559070496e+000dB,-1.64360768354027e+002°)
2.39883291901947e+004	(-1.23910276347674e+000dB,-1.64708749641536e+002°)
2.45470891568501e+004	(-1.18926012412250e+000dB,-1.65059138675289e+002°)
2.51188643150956e+004	(-1.14113001953908e+000dB,-1.65411584678716e+002°)
2.57039578276884e+004	(-1.09467394885780e+000dB,-1.65765760010670e+002°)
2.63026799189536e+004	(-1.04985273229423e+000dB,-1.66121359538021e+002°)
2.69153480392689e+004	(-1.00662666861074e+000dB,-1.66478099989381e+002°)
2.75422870333814e+004	(-9.64955681586768e-001dB,-1.66835719293897e+002°)
2.81838293126443e+004	(-9.24799455894252e-001dB,-1.67193975908757e+002°)
2.88403150312658e+004	(-8.86117562774277e-001dB,-1.67552648138874e+002°)
2.95120922666636e+004	(-8.48869575915665e-001dB,-1.67911533451949e+002°)
3.01995172040199e+004	(-8.13015177936910e-001dB,-1.68270447791923e+002°)
3.09029543251356e+004	(-7.78514257874392e-001dB,-1.68629224893578e+002°)
3.16227766016835e+004	(-7.45327000080788e-001dB,-1.68987715600876e+002°)
3.23593656929625e+004	(-7.13413964938157e-001dB,-1.69345787191372e+002°)
3.31131121482588e+004	(-6.82736161788447e-001dB,-1.69703322708854e+002°)
