Freq.	V(n015)
4.89778819368445e+001	(-4.89995566713845e+000dB,-2.39731098300879e+001°)
5.01187233627271e+001	(-5.00141345640162e+000dB,-2.37151468053183e+001°)
5.12861383991364e+001	(-5.10156526417835e+000dB,-2.34329149365944e+001°)
5.24807460249772e+001	(-5.20018395726791e+000dB,-2.31265157880447e+001°)
5.37031796370252e+001	(-5.29703770897604e+000dB,-2.27961551800273e+001°)
5.49540873857624e+001	(-5.39189114651500e+000dB,-2.24421497017316e+001°)
5.62341325190348e+001	(-5.48450665899174e+000dB,-2.20649327570383e+001°)
5.75439937337156e+001	(-5.57464586631157e+000dB,-2.16650599765664e+001°)
5.88843655355588e+001	(-5.66207124530202e+000dB,-2.12432138174585e+001°)
6.02559586074357e+001	(-5.74654790473754e+000dB,-2.08002071653619e+001°)
